reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2FSZ0JXOK9O2C,B009AMAGQM,Sharon Tatum,"[0, 0]","I also loved this movie when I went to see it.  So much action and surprises.  The graphics are wonderful.  If you live Twilight, you will love this movie.",5.0,Beautiful Creatures Review,1376092800,"08 10, 2013"
A1R2WP1CMA6O96,B000LC4ZCQ,Ken,"[1, 2]",The movies here all have a place in my home theater collection.  None are up to the quality of the novel portrayed.,4.0,"Good group of movies,,,not great",1355443200,"12 14, 2012"
AQRODCIYD7PYX,B003KV3E2W,"Robert F. Powers ""show maniac""","[4, 9]","Neighbor is a plotless movie that is strictly made to show a series of sadistic and horrifyingly systematic torture and slaughter of helpless victims.  The sadist is a young woman, obviously insane but no explanation is given who she is and why she is doing these unflinchingly depicted murders.  The unknown actress playing the role has to know this will be her first and last movie role because who in their right mind would ever hire her unless it was the Marquis DeSade.Since there is no real storyline I will cite a few of the ways people are tortured so this will be a warning to whether someone out there would ever want to watch this sickening piece of trash.A young girl has her mouth sawed open leaving her with a lop-sided grin that stretches ear to ear.This same young girl is cut open from the crook of her elbow to her wrist until her blood gushes out faster than an over-flowing bathtub. However the stage blood in this scene is not even convincing stage blood and looks like watered down tomato juice.She really goes to town on this same girls' boyfriend.  She uses a sharp instrument to turn his big toes to mush.  This is the nicest thing she does to him. She also punctures his cheek with a dentists' pick.  uses an electric drill to bore through his thigh and de-caps his knee with a pizza cutter. She also inserts a long sharp instrument into the young mans' penis and although it's obvious it was a prosthetic the scene is so vivid and squeamish I felt the pain in my own penis.The sadistic young woman also electrocutes, poisons and burns someone alive.This, I hesitate to call it a movie is a gorehounds delight and from the five-star ""plant"" reviewers you would think this is the best movie ever made.  It isn't. Not by a long shot. And since there is no reason for the gruesome going-ons(even Freddy Krueger had a motive in the original ""Nightmare On Elm Street), i can not recommend this sadistic piece of trash but it does deliver in the gore department and blows even ""Hostel"" in the torture genre out of the water.I happened to see the R-eated version of this picture and there is an unrated directors cut out there.  God help us.",2.0,RAMPAGING SLAUGHTER,1296000000,"01 26, 2011"
A34GZPHWYPSY2T,B000277SCY,"E. Hernandez ""Call me Harry""","[1, 1]","VIDOCQ (unnecessarily a/k/a DARK PORTALS: THE CHRONICLES OF VIDOCQ, 2001, dir. Pitof, opened 19 September, 2001, in Belgium) - The incredibly bloated G&eacute;rard Depardieu plays real-life detective/criminologist Francois Vidocq in this fast-paced, dizzying ""steampunk"" adventure set around 1830. (And the French had no compunction claiming this was partly based on Vidocq's actual memoirs.)Vidocq is hot on the trail of three men he considers dangerous perverts with dark motives. They lead him to The Alchemist (Guillaume Canet), an urban legend Vidocq has been studying for some time. He concludes correctly that The Alchemist is a real man - and tracks him down mercilessly.The twists in the plot are not all that labyrinthine; some are quite predictable whilst others are silly. The end is half expected, half total surprise. What astonishes me is not only the technological achievements of the film, but the fact that as early as 2001, someone in France was wise enough to do the first ""steampunk"" film with Vidocq as its central character. As has been indicated, this, not George Lucas' ATTACK OF THE CLONES, is the first film ever to be shot 100% digitally (with the Sony digital 1080p 24 fps).It matters little; the film has a made-for-TV look to it that I cannot quite accustom myself to watching. Yet it held me riveted, fascinated, as much for its excellence, cinema for cinema's sake, as for the films it clearly inspired. VIDOCQ started a movement that one could say began with the very first HARRY POTTER, all HARRY POTTER films, and certainly will not end with SHERLOCK HOLMES or SHERLOCK HOLMES 2. Most likely the slightly cheaper production values and the unfortunate timing buried VIDOCQ. Let's resurrect it!Director Pitof is best known for directing 2004's disaster CATWOMAN and his visual effects supervision on ALIEN: RESURRECTION (my favorite ALIEN film). Watch for this easy-to-spot director, who has a great future. I can't say what is going to ultimately become of Depardieu (the wife asked me what I thought), or how many dozens more films will be inspired by this masterpiece.All I can tell you is get this early marvel - appreciate it, it's not tough to find and even the original French dvd has English subtitles if you need them. Truly marvelous, original cinema is just too rare these days - so own this sparkling original.An original has to be accepted warts and all: one need not be offput by them.",5.0,"Vidocq invented modern crime-fighting ... and steampunk, apparently",1321056000,"11 12, 2011"
ASLTUNWNRTUOY,B000TAN90Y,J. Walsh,"[0, 1]","This is a fine story depicting the consequence of lying incessantly. Clifford Irving (Gere) lies to everyone and ends up unable to avoid lying even to himself. The message is powerful and lucid, but the film never hits the viewer over the head with it. It is done well.Richard Gere is terrific in this film. HE IS Clifford Irving! Never does the viewer feel that perhaps he is lamenting his dishonesty. Instead, his character demonstrates how, after a while,  we become exactly what we dissimulate being. Gere give enormous credence to the theme - once again showing that when the role is good, he shines as brightly as the best.The supporting cast is good, and I didn't see a weak performance in the drama. This is fine entertainment with a lesson subtly attached.",5.0,Deceit and Consequence,1247097600,"07 9, 2009"
A195PCNYWRB75,B007L6VR12,tick tock,"[1, 1]","A far more compelling script, not to mention a host of solid performances that rise above past failures as The Life Aquatic.",4.0,Droll Coming of Age Story,1362700800,"03 8, 2013"
A1R7TXCKWDZNOQ,6300185311,"Gwyn Gwyrdd ""geek""","[8, 8]","I am a newcomer to Doris Day films. An 80's child, I grew up thinking she was the queen of cheese based on things I'd heard about her films. I'm so glad I took my best friend's advice and checked her stuff out. This particular duo, Hudson, Day, and Randall are now on my fave list for comedy. The comedy here is real - not chock full of unnecessary sexual connotation and scatological references. Don't tell me films about people who are already married and trying to stay together are boring. Hudson and Day are proof of that. The script in this film is great - far more original than anything I've seen lately. Hudson is a hypochondriac who mistakenly believes he's been diagnosed with only a few weeks to live. The film's play on hypochondriacs is great in and of itself - right on the nose about this type of personality! His task to find a new husband for Day weaves a great web of complicated misunderstandings that leave you rolling. The film is full of great detail. I particularly like the way the filmmakers actually found someone to make Rock Hudson look small and puny - the scenes between Hudson and his wife's &quot;future husband&quot; are hilarious. My husband almost choked watching this hulk of a man trying to climb out of a fashionable little sports car. Ladies, my 27 year old husband liked this film as much as I did. I don't think any man could sit through the conversations between Hudson and Randall without a good laugh. I highly recommend this trio for anyone ready for a good script, and a good laugh.",4.0,"Meg Ryan, you can't touch Doris Day!",981072000,"02 2, 2001"
AI54XO5Z755FH,B0002V7O10,"Drake-by-the-Lake ""movie critic""","[6, 12]","I have seen two other Breillat flicks, ""A Very Young Girl"" and ""Brief Crossing,"" and consider myself a fan, and plan to watch other of her works (I say ""her"" works, assuming that she did indeed have an influence over the script). Her movies are all about the same thing - the initial flirtation, culminating in the sex act, between a man and a woman; followed by the dissolution of the relationship. It's entertaining and interesting and yes, erotic and titillating, but does not stir the passions or feed the intellect. Her movies all rate about three stars for this reason.Recommended. And for the record? The Fat Girl is the smartest character in the movie, though the least attractive. She just suffers from lack of will-power and assertiveness. Skinny girl was not the most intelligent being ever to grace this planet.The abrupt ending was a bit cheesy and smacked of the writer wanting to wrap everything up in &lt; 5 minutes. But, it was not without value and provided a interesting insight into Chubby.The reason we can have one sister be fat and one thin, and both eating the same diet, is genetics. On becoming aware of a propensity to putting on pounds, an obese person should eat sparingly, and occasionally fast (*- second meaning), like her ancestors of the frigid North. Save on grocery bills with the super-efficient metabolism. Thin people are metabolically inefficient machines, wasting calories. Come the famine, where will they be?",3.0,About the same rating as Catherine Breillat's other films - titillating and worth a viewing,1133395200,"12 1, 2005"
A1LSDDSM4PGOU5,B00003CY5X,"falcon ""disdressed12""","[0, 0]","i found this movie to be better than the first one.there's still lotsof action,but it's even funnier than the first.there's some really goodfight scenes,and Jackie Chan's moves are even more outrageous this timearound.the banter between Chan and Tucker is much funnier and morenatural.once again,although there is some violence it's not excessiveor gratuitous.i think there is also less coarse language than thefirst,and like the first,there is no nudity,but there is a bit ofsuggestiveness.overall,i though this movie was a great ride from startto finish.it's even faster paced than the original,and Tucker and Chanhave even better general and comedic chemistry.for me,Rush Hour 2 is a 4/5",4.0,funnier and more action packed than the first one,1204329600,"03 1, 2008"
A1ZZ5CT3036BS7,B000WM84Y0,"William Parrish ""celine fan""","[2, 5]",i was thinking this dvd may have been a bit imperfect (scratched cover or dvd itself) but it was in perfect condition from the seller.  it looked like an unused copy that i scored on!,5.0,perfect dvd,1265241600,"02 4, 2010"
ATP9LYGM6D3RO,B00005R23R,"McGillicutty ""DVD Fan""","[0, 0]","Both episodes are superior pieces of work from the first season of Farscape.&quot;Through the Looking Glass&quot; is a supurb stand-alone episode that is, IMHO, the best introduction to those new to the Farscape universe.  All of Moya's crew gets to shine is this interesting set-piece when Moya gets stuck in starburst and is split into four separate environments representing normal, light, sound, &amp; giddyness (I guess).  Note how the show begins and ends with the crew eating together and just how different the mood is between both scenes.  Also note Chiana's rather cat-like growl at John in the &quot;happy&quot; section.&quot;A Bug's Life&quot; in notable for being the first in the five-episode run that ended the first season. It's best viewed with the rest of the episodes so you can fully enjoy the storyline.A hearty recommendation and bon appetite!",5.0,A good place to start your Farscape adventure,1087430400,"06 17, 2004"
A3CAKEDC4V3LE2,B0000A02YL,"S. Murphy ""LUVTATTOO""","[0, 0]","my son (he is 8 yr) is head over hills on this dvd, he can't get enough & watches it over and over",5.0,outstanding,1280361600,"07 29, 2010"
A28V2R9T34X2VU,6301752694,Rex Hunt,"[0, 0]","We loved this cartoon when we were kids, and it brought back a lot of good memories.  We got it to show the kids and the grandkids.  We all enjoyed it immensely.  I would recommend it to any and all families.",5.0,A good cartoon by the Walt Disney Studios....,1394582400,"03 12, 2014"
ANCOMAI0I7LVG,B00009WVSG,Andrew Ellington,"[0, 0]","&#8216;The Chosen&#8217; is a very well made film that explores culture, tradition, friendship and family in ways that enlighten as well as emotionally connect.  While I am not Jewish and am not entirely familiar with many of the traditions explored in this film, the human element is very strong and makes it easy to find yourself engaged from frame to frame.  The story takes place in the 40&#8217;s and tells of two young men growing up in Brooklyn who are from opposite ends of their religion.  Young Reuven is living a more modern life with his father, who happens to be a professor.  After a run in on the baseball diamond with Danny, who is orthodox Hasidic, Reuven&#8217;s eyes begin to open, as do Danny&#8217;s, as they explore each other&#8217;s lives through an unlikely friendship that blossoms over time.  The real force in their lives is easily the influence of their fathers, and while Reuven begins to question Danny&#8217;s strict upbringing, a beautiful moment at the film&#8217;s end between the two boys and Danny&#8217;s father Reb is the highlight of the film, and really moved me to tears (Steiger is remarkable here).  I highly recommend this film, for it is historically informative and features some very strong performances (and that score) that only heighten the enjoyment.  I wish that the relationship between the boys was fleshed out as deeply as the one&#8217;s between them and their fathers, but it&#8217;s a nitpick at this point.",4.0,"Tradition, culture and Rod Steiger&#8230;",1389571200,"01 13, 2014"
A1BH3LQ2U05OSM,B000A59PMO,otmichele,"[0, 0]","As it was with Buffy the Vampire Slayer, Veronica Mars carries on the tradition of making the female a strong role model.  We need more programs like this.",5.0,Excellent female role model,1392336000,"02 14, 2014"
ABDUEJT0GE07,B007TZN3ZS,Brisa Chen,"[0, 0]","I watched this movie because I liked the actresses in the movie. They are all good looking. I expected to see their performance. The palaces revealed in the movie are excellent. Again, it showed some good imagination.",5.0,Well-done movie with great imagination.,1403654400,"06 25, 2014"
AAAAJPG5Z1TLS,6300984869,Charla Johnson,"[1, 16]","If you're a Bette Davis fan, skip this one. It will break your heart to see her this way. It was made fairly soon after her stroke and it is very apparent in this film. It is a story about two elderly sisters living together on a remote island. This movie fails to make any sense to me. It has a meandering story line going nowhere. I wish I had not seen it.  The image of Bette Davis, in this one, will stay with me forever.",1.0,Bad!,1195257600,"11 17, 2007"
A27H9DOUGY9FOS,B0034G4OVS,"K. Harris ""Film aficionado""","[24, 29]","A dubiously labeled ""horror"" film--""Frozen"" is actually a surprisingly strong film about survival. If you were disappointed by ""The Blair Witch Project"" (a harrowing film about being lost, not about witches) or ""Open Water"" (a film more reliant on the drama of helplessness than on shark scares), then you will probably see little point to ""Frozen."" If, however, the very real frights of those films unsettled you--this film should tap into the same sensibilities and be right up your alley. An incredibly tense tale of three friends who are stranded on a ski lift, ""Frozen"" explores very real and powerful feelings of isolation and desperation as the trio comes to terms with their situation. Realizing that to survive is to act is only the first hurdle. Unfortunately, it seems as if nature itself is conspiring against the kids.""Frozen"" is a surprisingly sophisticated drama despite its very simple premise. The terror is understated and real (not at all what I was expecting from the director of the middling horror/comedy ""Hatchet""). Kevin Zegers, Shawn Ashmore, and Emma Bell do a fantastic job bringing this unpleasant experience to life. From joking bravado, to quiet desperation, to regret and recriminations, to acceptance and action--you really feel tapped into the emotions and fear of the protagonists. That's why ""Frozen"" is so disturbing and so great. The middle third of the film is so intense and memorable, it will definitely stick with me as one of the most horrifyingly bleak things I've seen this year! And while the film does strive for a ""scary"" payoff with a bigger action sequence at the finale, the palpable sense of danger of the film's quieter moments is never equaled.I truly think it is a disservice to market ""Frozen"" strictly in the horror category. It is most definitely a character driven drama. The horror of the premise is real and not manufactured for maximum scares. Great characterizations, effective performances and a slow-build tension distinguish ""Frozen"" as a harrowing and heartbreaking journey of human emotions. I hope that people will come to discover and appreciate ""Frozen."" It is my choice for one of the biggest sleepers of the year--I'm absolutely stunned by how well it achieves what it set out to do. A serious recommendation that extends beyond horror to all mainstream audiences! 4 1/2 stars. KGHarris, 9/10.",4.0,"A Harrowing And Character Driven Tale Of Survival--""Frozen"" Is NOT A Horror Film",1286409600,"10 7, 2010"
A3DVS9Y4Z1HIDJ,B002IC1RQY,"Bob Lind ""camelwest""","[8, 8]","Maxi is a nebbish, gay, drama queen, owner/chef of a struggling restaurant. He is helped out by a close-knit but somewhat scatterbrained group of employees, including his best gal pal, Alex, who seems to have a knack for being attracted to the wrong men. When a handsome, former superstar soccer player moves into Maxi's apartment building, Alex is instantly smitten, and recruits Maxi to help her make a play for him, but the handsome athlete turns out to be closeted and is actually attracted to Maxi instead.  Meanwhile, Maxi reunites with his children from a failed marriage, a sullen teenage son and hyperactive 6 year old daughter, who come to live with him after the death of their mother. After years of being alone and set in his ways, Maxi finds it difficult to suddenly have a lover as well as having to be an ""instant"" good father, a role he never wanted.""Fuera de carta (Chef's Special)"" is a 2008 Spanish film directed and written by a team that mostly writes TV sitcoms in that country, and it shows.  The pace is light and breezy, with madcap physical comedy and unexpected revelations delivering most of the laughs.  And, despite some criticism in a few reviews that the script contains too many homophobic jokes, the context in which they are told (most by Maxi's somewhat senile father, who doesn't seem to be able to stop himself) makes it clear that they are a product of the ignorance of the person speaking, reminiscent of Archie on ""All In The Family"" in the US.  Overall, I found this to be a well-written, positive and largely hysterical romantic comedy, much recommended to both gay and open-minded non-gay audiences.  Five (Michelin) stars out of five!DVD soundtrack is in Spanish with English subtitles. (Note that the film is very dialogue-intensive, so it takes a lot of constant reading to keep up with what is happening.) Extras include a ""making of"" featurette and photo album.",5.0,"""Chef"" has a lot on his plate, in this madcap romantic comedy from Spain",1255996800,"10 20, 2009"
A233UR4B7OT4RR,0800177029,ROFLChopper,"[2, 2]","While Hollywood still continues their obsession with vampire stories, Wolf has to be one of a few werewolf films that is surely worth the watch.  Now depending how well and how much you take your werewolf mythology, I find 'Wolf' to be a great watch every time I get to see it.  You can never go wrong with this movie's all-star cast and unique storytelling, film-making that reminds me a lot of a classic Stephen King picture.  Jack Nicholson performance is well oiled, and does a fairly good job as the subhuman being. Jack's Eastwick co-star Michelle Pfeiffer rejoins him as a aloof and loveless woman who has manages to open her heart to the character and you can definitely see their Eastwick chemistry is not lost. The only thing that misses the mark slightly about the movie is Laura's  brother.  It is explained a little that he was a borderline schizophrenic and committed suicide.  Question is did this come from he probably being a wolf himself and couldn't handle it?  Or did the Aldens have the cursed wolf trait the whole time?  Again this movie is simply a guilty pleasure, outside of An American Werewolf in London, it has to be one of a few that I can honestly watch throughout without it being too campy and cheap in quality.  Good stuff!",4.0,90s Gulity Pleasure!  Small Spoilers.,1339200000,"06 9, 2012"
A38H6JROS603PV,B0090SI4HO,Ken,"[0, 0]",it's ok. not much of a plot to go on. BUT if you don't plan on paying attention to the movie.... In other words if you need white noise running in the back ground this movie is perfect.,3.0,ehhhhhh,1389830400,"01 16, 2014"
A3MEHHL9LNKW4Z,B000JYW5DM,Herb Reeves,"[5, 6]","I've written two negative reviews, but I try not to waste time venting against the trivial and insignificant.Nevertheless, after struggling with insomnia a few days ago I gave up, turned on cable and watched ""Wicker Man."" Hey, it's got Nicolas Cage! Can't be all bad. And Ellen Burstyn, for God's sake. There must be SOMETHING good about it!It didn't do my insomnia any good at all. It was too disturbing to watch such a waste of talent.But one reviewer got it right, I think, and gave it five stars for being a good ""bad"" movie. I wish I had been in that frame of mind at three in the morning. The only clue came when Cage pulled his gun on Molly Parker, assumed the police stance and shouted ""Step away from the bike!""",1.0,The Curse of Insomnia,1193356800,"10 26, 2007"
A33WRCAW3ZU2CU,B000SSQ7JW,Izray,"[2, 3]","What? You don't have this set yet?  Well, get it . . . . now!  I just got mine and man-o-man it's AWESOME.  The quality is just stupendous.Please Sony/Columbia may we have the next sets now and don't you dare forget the Shemp years.  The man was a classic as well.  Long live Larry, Moe, Curley and Shemp.",5.0,"""Don't Forget Shemp!""",1201737600,"01 31, 2008"
A3OB3WDUN51D8A,B000V1S1MC,Sterling,"[3, 3]","I bought the set from ""spstore"" through Amazon. I receiced the set 3 days after I placed the order in excellent condition. The Picture and sound are excellent. Setting the player for English subtitles was easy and intuitive. I played the Sequel with no subtitles, as it is dubbed in American English, which was done very well.We first saw The Tall Blond... when it was released in the theaters with English subtitles. I remember we laughed so hard, we wished for breaks so we can come up for air. Now after all these years we still laughed hard.There is an American remake of the film with an excellent cast, staring Tom Hanks called The Man with One Red Shoe. That film is very well done and funny, but the original is clearly better, even with subtitles. Pierre Richard is one of the all time comedy greats. It is hard to imagine anybody else doung a better job as The Tall Blond. I am happy to add the Set to my comedy collection.Amazon also gets 5 stars for handling flawlessly the transaction.",5.0,One of the funniest films ever made,1257638400,"11 8, 2009"
A3R6ST52EBN2FK,B0007OCG4W,"Emily R. Jarrell ""emma34""","[3, 4]","You have Julia Roberts here as a photographer.  Enter Jude Law (who is involved with Natalie Portman's character)who as he's being photographed and conversating with her forms an intense crush on her and is determined to have her.  His girlfriend (Portman) comes in, senses something is amiss, but cannot do anything about it.  Movie skips ahead (not confusingly) and we find a lot more about each of these characters, including Julia Roberts being together with Clive Owen.  That doesn't stop her from indulging in a relationship with Jude Law the whole time.  The two of them are no match for the ruthless and I mean ruthless vengence Clive Owen takes on them all.  Some of the vengence involves him seeking out Portman and the two of them had the sort of coldness in their personalities that made it work.  Strangely, I didn't feel sorry for any of these people at the end, personally I found each of them (even Roberts) to be resigned to their choices.  Incredibly selfish , beautiful people who screw with each others minds and rationalize it to fit their purposes.",5.0,Closer,1112313600,"04 1, 2005"
ARKN5M2UYTF61,B000FA57HG,T. Matthews,"[0, 0]","This is one of the greatest cartoons, like Looney Toons!  I'm sad it's longer running, but it's great to be able go back and watch them!",5.0,Great cartoon,1391472000,"02 4, 2014"
